Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
11,02/05/2026 14:15,02/05/2026 14:17,sheila.phillips@upr.edu,SHEILA PHILLIPS,Dean of Academic Affairs,,Distance Education,,,,,,,,,,Sheila Phillips,sheila.phillips@upr.edu,Staff Training Program - Ergonomic zero administration toolset,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Desiree Martinez,Yes,RENDINC - INGRESOS FONDO DOTAL (40370);SSTFA - F ESTATAL AYUDA ECON (20241-49);CPF - MEJORAS PERMANENTES (40411-69),191692.77,Existing
12,01/25/2026 15:34,01/25/2026 15:46,misty.warren@upr.edu,MISTY WARREN,School of Nursing,,,,,,,,Nursing Research,,,,Misty Warren,misty.warren@upr.edu,Research Ethics Compliance - Robust interactive implementation,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Nicholas Mendoza,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);CDBGMF - PAREO PROYECTOS FEMA (40472),93981.71,Pending
13,02/18/2026 00:15,02/18/2026 00:24,wendy.miller@upr.edu,WENDY MILLER,Dean of Academic Affairs,,Continuing Education (DECEP),,,,,,,,,,Wendy Miller,wendy.miller@upr.edu,Student Research Fellowship - Optimized 4thgeneration groupware,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Robert Williams,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),15659.57,Existing
14,01/29/2026 16:47,01/29/2026 16:49,alison.tran@upr.edu,ALISON TRAN,School of Medicine,,,,,,Department of Anatomy,,,,,,Alison Tran,alison.tran@upr.edu,Research Ethics Compliance - Synchronized static model,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Jacqueline Ortiz,No,,,N/A
15,02/06/2026 23:50,02/06/2026 23:55,debra.baker@upr.edu,DEBRA BAKER,School of Nursing,,,,,,,,Nursing Simulation Center,,,,Debra Baker,debra.baker@upr.edu,Research Collaboration Network - Open-architected user-facing project,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Thomas Forbes,No,,,N/A
16,02/12/2026 02:40,02/12/2026 02:49,pam.brown@upr.edu,PAM BROWN,Chancellor,RCM Central Administration,,,,,,,,,,,Pam Brown,pam.brown@upr.edu,Distance Learning Platform - Cloned 6thgeneration initiative,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Russell Hubbard,No,,,N/A
17,01/26/2026 03:36,01/26/2026 03:40,jack.anderson@upr.edu,JACK ANDERSON,School of Dental Medicine,,,,,,,Department of Diagnostic Sciences,,,,,Jack Anderson,jack.anderson@upr.edu,Purchasing System Upgrade - Multi-channeled analyzing hierarchy,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Michele Lewis,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),249821.33,Existing
18,01/28/2026 00:00,01/28/2026 00:03,chad.wilson@upr.edu,CHAD WILSON,Dean of Students,,,,Student Counseling,,,,,,,,Chad Wilson,chad.wilson@upr.edu,Wellness Program - Managed fresh-thinking process improvement,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Ronald Dougherty,No,,,N/A
19,01/24/2026 12:13,01/24/2026 12:15,jennifer.wilson@upr.edu,JENNIFER WILSON,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Jennifer Wilson,jennifer.wilson@upr.edu,Community Outreach Initiative - Up-sized even-keeled implementation,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Dawn Medina,Yes,FGF - F GRANTS FEDERALES (40231-39),145215.89,Pending
20,02/05/2026 14:29,02/05/2026 14:31,chelsea.king@upr.edu,CHELSEA KING,School of Medicine,,,,,,Office of the Dean - Medicine,,,,,,Chelsea King,chelsea.king@upr.edu,Learning Management System Upgrade - Horizontal cohesive application,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Cindy Bradley,Yes,CPF - MEJORAS PROJETOS FEMA (40471),17922.25,Existing
21,02/09/2026 17:43,02/09/2026 17:51,william.brown@upr.edu,WILLIAM BROWN,Dean of Academic Affairs,,Continuing Education (DECEP),,,,,,,,,,William Brown,william.brown@upr.edu,Student Recruitment Campaign - Face-to-face holistic frame,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Tiffany Thompson,Yes,SGOVC - CONTRATOS GOB PR (40250);CPPF - F MEJORAS DONATIVO PRIV (40280),179331.76,Existing
22,02/14/2026 09:45,02/14/2026 09:51,kerry.swanson@upr.edu,KERRY SWANSON,School of Dental Medicine,,,,,,,Department of Diagnostic Sciences,,,,,Kerry Swanson,kerry.swanson@upr.edu,Purchasing System Upgrade - Optimized explicit implementation,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Brittany Krueger,Yes,CPF - MEJORAS PERMANENTES (40411-69),54075.42,New
23,02/13/2026 12:10,02/13/2026 12:14,bailey.hansen@upr.edu,BAILEY HANSEN,School of Medicine,,,,,,Department of Anatomy,,,,,,Bailey Hansen,bailey.hansen@upr.edu,Data Analysis Center - Pre-emptive optimal initiative,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Gary Thornton,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);ROPR - PROYECTOS ESPECIALES (40399);GF - FONDO GENERAL (40110),167297.94,Pending
24,01/30/2026 22:21,01/30/2026 22:27,andrea.wright@upr.edu,ANDREA WRIGHT,Graduate School of Public Health,,,,,,,,,,,Office of the Dean - Public Health,Andrea Wright,andrea.wright@upr.edu,Research Ethics Compliance - Persevering executive extranet,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Joseph Singleton,Yes,CPF - MEJORAS PROJETOS FEMA (40471);SGOVC - CONTRATOS GOB PR (40250),179685.43,Existing
25,02/13/2026 19:44,02/13/2026 19:56,laura.underwood@upr.edu,LAURA UNDERWOOD,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Laura Underwood,laura.underwood@upr.edu,Social Determinants Project - Visionary 3rdgeneration implementation,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Alexis Colon,Yes,RMF - F PAREO GRANTS (40320),193008.69,Pending
26,02/09/2026 12:15,02/09/2026 12:21,mark.adams@upr.edu,MARK ADAMS,Dean of Investigation,,,Research Development Office,,,,,,,,,Mark Adams,mark.adams@upr.edu,Mental Health Services - Cross-platform secondary moratorium,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Hector Andrade,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470);CPF - MEJORAS PERMANENTES (40411-69),37875.35,Existing
27,02/05/2026 21:57,02/05/2026 21:59,shannon.warren@upr.edu,SHANNON WARREN,Dean of Administration,,,,,Finance Office,,,,,,,Shannon Warren,shannon.warren@upr.edu,Distance Learning Platform - Object-based local instruction set,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Mark Hoffman,Yes,PPIU - PLAN PRACT INTRAM (40312);CPF - MEJORAS PROJETOS FEMA (40471);EMPAUX - F EMP AUX (20181),231515.19,Existing
28,02/15/2026 01:15,02/15/2026 01:30,jasmine.lyons@upr.edu,JASMINE LYONS,Dean of Investigation,,,Research Centers in Minority Institutions (RCMI) Program,,,,,,,,,Jasmine Lyons,jasmine.lyons@upr.edu,Social Determinants Project - Persevering upward-trending methodology,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Dr. Amy Macias,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),96252.89,Existing
29,02/03/2026 10:17,02/03/2026 10:32,kevin.banks.md@upr.edu,KEVIN BANKS MD,School of Nursing,,,,,,,,Undergraduate Nursing Programs,,,,Kevin Banks MD,kevin.banks.md@upr.edu,Publication Support Initiative - User-centric 3rdgeneration encryption,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,James Woods,Yes,SGOVC - CONTRATOS GOB PR (40250);PPMI - MEDICAL PRACTIVE PLAN (40311);RMF - F PAREO GRANTS (40320),70372.16,Existing
30,02/04/2026 22:34,02/04/2026 22:48,bianca.lowe@upr.edu,BIANCA LOWE,Dean of Administration,,,,,Finance Office,,,,,,,Bianca Lowe,bianca.lowe@upr.edu,Health Screening Program - Cross-platform exuding hub,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Keith Fox,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),149546.24,New
31,02/04/2026 17:13,02/04/2026 17:26,rebecca.bartlett@upr.edu,REBECCA BARTLETT,School of Medicine,,,,,,Department of Surgery,,,,,,Rebecca Bartlett,rebecca.bartlett@upr.edu,Graduate Program Expansion - Cross-group multimedia open system,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Amanda Chavez,Yes,PPIU - PLAN PRACT INTRAM (40312);SSTFA - F ESTATAL AYUDA ECON (20241-49),237269.75,New
32,02/13/2026 10:57,02/13/2026 11:08,michael.jones@upr.edu,MICHAEL JONES,School of Medicine,,,,,,Department of Anatomy,,,,,,Michael Jones,michael.jones@upr.edu,Energy Sustainability - Assimilated explicit parallelism,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Suzanne Osborne,Yes,PPIU - PLAN PRACT INTRAM (40312),166567.43,New
33,01/24/2026 14:25,01/24/2026 14:37,kelly.brown@upr.edu,KELLY BROWN,Dean of Investigation,,,Biostatistics Core,,,,,,,,,Kelly Brown,kelly.brown@upr.edu,Technology Modernization - Digitized systemic definition,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Eduardo Greene,No,,,N/A
34,02/13/2026 22:15,02/13/2026 22:29,rebecca.bernard@upr.edu,REBECCA BERNARD,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Rebecca Bernard,rebecca.bernard@upr.edu,Financial Reporting Enhancement - Diverse composite framework,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Kelly Walsh,Yes,SSTFA - F ESTATAL AYUDA ECON (20241-49);ISTFA - AYUDA INST ASIST ECON EST (40275);ROPR - PROYECTOS ESPECIALES (40399),166299.61,Pending
35,02/03/2026 17:15,02/03/2026 17:22,stephanie.miller@upr.edu,STEPHANIE MILLER,Dean of Academic Affairs,,Continuing Education (DECEP),,,,,,,,,,Stephanie Miller,stephanie.miller@upr.edu,Process Optimization - Realigned composite Graphical User Interface,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Herbert Pittman,Yes,CPF - MEJORAS PROJETOS FEMA (40471);SSTFA - F ESTATAL AYUDA ECON (20241-49),114398.63,Pending
36,02/04/2026 05:38,02/04/2026 05:49,daniel.chapman@upr.edu,DANIEL CHAPMAN,Dean of Students,,,,Housing Office,,,,,,,,Daniel Chapman,daniel.chapman@upr.edu,Wellness Program - Optimized zero tolerance customer loyalty,This project aims to improve outcomes through innovative approaches and collaborative efforts.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Arthur Torres,No,,,N/A
37,02/02/2026 19:01,02/02/2026 19:06,russell.hanson@upr.edu,RUSSELL HANSON,Dean of Investigation,,,Research Development Office,,,,,,,,,Russell Hanson,russell.hanson@upr.edu,Health Education Campaign - Vision-oriented global system engine,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Cameron Allen,No,,,N/A
38,01/21/2026 09:40,01/21/2026 09:52,vincent.berg@upr.edu,VINCENT BERG,School of Pharmacy,,,,,,,,,Drug Information Center,,,Vincent Berg,vincent.berg@upr.edu,Purchasing System Upgrade - Future-proofed static time-frame,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Laura Harris,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472),70050.53,Pending
39,02/03/2026 10:54,02/03/2026 11:03,tiffany.french@upr.edu,TIFFANY FRENCH,Graduate School of Public Health,,,,,,,,,,,Department of Epidemiology,Tiffany French,tiffany.french@upr.edu,Infrastructure Improvement - Re-engineered context-sensitive solution,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Ryan Fox,Yes,CPF - MEJORAS PERMANENTES (40411-69);SSTFA - F ESTATAL AYUDA ECON (20241-49),35455.14,Existing
40,02/08/2026 15:51,02/08/2026 15:59,jonathan.holloway@upr.edu,JONATHAN HOLLOWAY,Dean of Investigation,,,Research Development Office,,,,,,,,,Jonathan Holloway,jonathan.holloway@upr.edu,Research Ethics Compliance - Digitized static toolset,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Deborah Stuart,No,,,N/A
41,02/07/2026 15:02,02/07/2026 15:04,stacey.williams@upr.edu,STACEY WILLIAMS,Dean of Students,,,,Career Services,,,,,,,,Stacey Williams,stacey.williams@upr.edu,Wellness Program - Re-contextualized disintermediate productivity,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Mrs. Annette Holloway,Yes,PPIU - PLAN PRACT INTRAM (40312);CPF - MEJORAS PERMANENTES (40411-69),187131.4,Pending
42,02/18/2026 04:28,02/18/2026 04:42,derek.mann@upr.edu,DEREK MANN,School of Health Professions,,,,,,,,,,Department of Physical Therapy,,Derek Mann,derek.mann@upr.edu,Wellness Program - Innovative value-added ability,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Christopher Zimmerman,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280);PPMI - MEDICAL PRACTIVE PLAN (40311);FSTAID - F AYUDA ECON FED (40210-29),210285.91,Existing
43,01/23/2026 08:25,01/23/2026 08:36,andrew.prince@upr.edu,ANDREW PRINCE,School of Pharmacy,,,,,,,,,Office of the Dean - Pharmacy,,,Andrew Prince,andrew.prince@upr.edu,Social Determinants Project - Visionary regional open architecture,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Tiffany Freeman,No,,,N/A
